playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
abbotje01,2000,1,CHA,AL,80,215,31,59,15,1,3,29,2,1,21,38,1,2,1,0.343,0.395,0.738,0.32,0.345,0.437,90
abbotku01,1999,1,COL,NL,96,286,41,78,17,2,8,41,3,2,16,69,0,0,1,0.31,0.43,0.74,0.333,0.345,0.434,89
abbotku01,2000,1,NYN,NL,79,157,22,34,7,1,6,12,1,1,14,51,2,1,1,0.283,0.389,0.672,0.277,0.345,0.437,71
abercre01,2006,1,FLO,NL,111,255,39,54,12,2,5,24,6,5,18,78,2,3,1,0.271,0.333,0.604,0.283,0.337,0.432,57
abernbr01,2002,1,TBA,AL,117,463,46,112,18,4,2,40,10,4,25,46,0,6,2,0.288,0.311,0.599,0.264,0.331,0.417,62
abernbr01,2001,1,TBA,AL,79,304,43,82,17,1,5,33,8,3,27,35,1,0,1,0.328,0.382,0.71,0.291,0.332,0.427,88
abreubo01,2011,1,LAA,AL,142,502,54,127,30,1,8,60,21,5,78,113,5,1,3,0.353,0.365,0.717,0.31,0.321,0.399,101
abreubo01,2008,1,NYA,AL,156,609,100,180,39,4,20,100,22,11,73,109,2,1,1,0.371,0.471,0.843,0.333,0.333,0.416,125
abreubo01,2006,2,NYA,AL,58,209,37,69,16,0,7,42,10,2,33,52,1,1,3,0.419,0.507,0.926,0.405,0.337,0.432,142
abreubo01,2006,1,PHI,NL,98,339,61,94,25,2,8,65,20,4,91,86,5,2,6,0.427,0.434,0.861,0.343,0.337,0.432,127
abreubo01,2000,1,PHI,NL,154,576,103,182,42,10,25,79,28,8,100,116,9,1,3,0.416,0.554,0.97,0.358,0.345,0.437,147
abreubo01,2009,1,LAA,AL,152,563,96,165,29,3,15,103,30,8,94,113,7,1,9,0.39,0.435,0.825,0.338,0.333,0.418,121
abreubo01,2010,1,LAA,AL,154,573,88,146,41,1,20,78,24,10,87,132,3,2,5,0.352,0.435,0.787,0.296,0.325,0.403,116
abreubo01,2005,1,PHI,NL,162,588,104,168,37,1,24,102,31,9,117,134,15,6,8,0.405,0.474,0.879,0.329,0.33,0.419,136
abreubo01,2001,1,PHI,NL,162,588,118,170,48,4,31,110,36,14,106,137,11,1,9,0.393,0.543,0.936,0.324,0.332,0.427,146
abreubo01,2004,1,PHI,NL,159,574,118,173,47,1,30,105,40,5,127,116,10,5,7,0.428,0.544,0.971,0.329,0.335,0.428,155
abreubo01,2007,1,NYA,AL,158,605,123,171,40,5,16,101,25,8,84,115,0,3,7,0.369,0.445,0.814,0.322,0.336,0.423,115
abreubo01,2012,2,LAN,NL,92,195,28,48,8,1,3,19,6,2,35,51,3,0,0,0.361,0.344,0.704,0.319,0.319,0.405,98
abreubo01,2014,1,NYN,NL,78,133,12,33,9,0,1,14,1,0,20,21,0,0,2,0.342,0.338,0.68,0.283,0.314,0.386,96
abreubo01,2002,1,PHI,NL,157,572,102,176,50,6,20,85,31,12,104,117,9,3,6,0.413,0.521,0.934,0.354,0.331,0.417,150
abreubo01,1999,1,PHI,NL,152,546,118,183,35,11,20,93,27,9,109,113,8,3,4,0.446,0.549,0.995,0.391,0.345,0.434,156
abreubo01,2003,1,PHI,NL,158,577,99,173,35,1,20,101,22,9,109,126,13,2,7,0.409,0.468,0.877,0.349,0.333,0.422,134
abreujo02,2014,1,CHA,AL,145,556,80,176,35,2,36,107,3,1,51,131,15,11,4,0.383,0.581,0.964,0.356,0.314,0.386,172
abreujo02,2015,1,CHA,AL,154,613,88,178,34,3,30,101,0,0,39,140,11,15,1,0.347,0.502,0.85,0.333,0.317,0.405,133
abreujo02,2016,1,CHA,AL,159,624,67,183,32,1,25,100,0,2,47,125,7,15,9,0.353,0.468,0.82,0.327,0.322,0.417,122
abreujo02,2017,1,CHA,AL,156,621,95,189,43,6,33,102,3,0,35,119,6,15,4,0.354,0.552,0.906,0.33,0.324,0.426,139
abreujo02,2018,1,CHA,AL,128,499,68,132,36,1,22,78,2,0,37,109,7,11,6,0.325,0.473,0.798,0.294,0.318,0.409,118
abreuto01,2007,1,LAN,NL,59,166,19,45,14,1,2,17,0,0,7,21,1,3,2,0.309,0.404,0.713,0.297,0.336,0.423,87
abreuto01,2013,1,SFN,NL,53,138,21,37,12,3,2,14,0,2,6,33,1,1,1,0.301,0.442,0.743,0.337,0.318,0.396,106
abreuto01,2010,1,ARI,NL,81,193,16,45,11,1,1,13,2,1,4,47,0,0,4,0.244,0.316,0.56,0.295,0.325,0.403,53
ackledu01,2015,1,SEA,AL,85,186,22,40,8,1,6,19,2,2,14,38,0,1,3,0.27,0.366,0.635,0.234,0.317,0.405,76
ackledu01,2014,1,SEA,AL,143,502,64,123,27,4,14,65,8,4,32,90,1,3,2,0.293,0.398,0.692,0.273,0.314,0.386,96
ackledu01,2013,1,SEA,AL,113,384,40,97,18,2,4,31,2,3,37,72,1,1,1,0.319,0.341,0.66,0.301,0.318,0.396,86
ackledu01,2012,1,SEA,AL,153,607,84,137,22,2,12,50,13,3,59,124,7,0,1,0.294,0.328,0.622,0.265,0.319,0.405,73
ackledu01,2011,1,SEA,AL,90,333,39,91,16,7,6,36,6,0,40,79,1,0,3,0.348,0.417,0.766,0.339,0.321,0.399,113
acunaro01,2018,1,ATL,NL,111,433,78,127,26,4,26,64,16,5,45,123,2,6,3,0.366,0.552,0.917,0.352,0.318,0.409,150
adamecr01,2016,1,COL,NL,121,225,25,49,7,3,2,17,2,3,24,47,0,4,0,0.304,0.302,0.607,0.267,0.322,0.417,67
adamewi01,2018,1,TBA,AL,85,288,43,80,7,0,10,34,6,5,31,95,3,1,2,0.348,0.406,0.754,0.378,0.318,0.409,109
adamsda02,2013,1,NYA,AL,43,140,10,27,5,1,2,13,0,0,9,43,0,2,0,0.252,0.286,0.537,0.263,0.318,0.396,51
adamsla01,2017,1,ATL,NL,85,109,19,30,4,1,5,20,10,0,10,37,0,1,1,0.339,0.468,0.807,0.368,0.324,0.426,114
adamsma01,2018,1,WAS,NL,94,249,37,64,9,0,18,48,0,0,24,55,2,4,0,0.332,0.51,0.842,0.261,0.318,0.409,129
adamsma01,2015,1,SLN,NL,60,175,14,42,9,0,5,24,1,0,10,41,1,0,1,0.28,0.377,0.657,0.285,0.317,0.405,81
