playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,OPS+,Result
abreubo01,1999,546,118,183,35,11,20,93,109,113,8,3,4,0.446,0.549,0.995,156,0.416
abreubo01,2000,576,103,182,42,10,25,79,100,116,9,1,3,0.416,0.554,0.97,147,0.393
abreubo01,2001,588,118,170,48,4,31,110,106,137,11,1,9,0.393,0.543,0.936,146,0.413
abreubo01,2002,572,102,176,50,6,20,85,104,117,9,3,6,0.413,0.521,0.934,150,0.409
abreubo01,2003,577,99,173,35,1,20,101,109,126,13,2,7,0.409,0.468,0.877,134,0.428
abreubo01,2004,574,118,173,47,1,30,105,127,116,10,5,7,0.428,0.544,0.971,155,0.405
abreubo01,2005,588,104,168,37,1,24,102,117,134,15,6,8,0.405,0.474,0.879,136,0.419
abreubo01,2006,339,61,94,25,2,8,65,91,86,5,2,6,0.427,0.434,0.861,127,0.369
abreubo01,2006,209,37,69,16,0,7,42,33,52,1,1,3,0.419,0.507,0.926,142,0.427
abreubo01,2007,605,123,171,40,5,16,101,84,115,0,3,7,0.369,0.445,0.814,115,0.371
abreubo01,2008,609,100,180,39,4,20,100,73,109,2,1,1,0.371,0.471,0.843,125,0.39
abreubo01,2009,563,96,165,29,3,15,103,94,113,7,1,9,0.39,0.435,0.825,121,0.352
abreubo01,2010,573,88,146,41,1,20,78,87,132,3,2,5,0.352,0.435,0.787,116,0.353
abreubo01,2011,502,54,127,30,1,8,60,78,113,5,1,3,0.353,0.365,0.717,101,0.383
abreujo02,2014,556,80,176,35,2,36,107,51,131,15,11,4,0.383,0.581,0.964,172,0.347
abreujo02,2015,613,88,178,34,3,30,101,39,140,11,15,1,0.347,0.502,0.85,133,0.353
abreujo02,2016,624,67,183,32,1,25,100,47,125,7,15,9,0.353,0.468,0.82,122,0.354
abreujo02,2017,621,95,189,43,6,33,102,35,119,6,15,4,0.354,0.552,0.906,139,0.325
abreujo02,2018,499,68,132,36,1,22,78,37,109,7,11,6,0.325,0.473,0.798,118,0.33
ackledu01,2011,333,39,91,16,7,6,36,40,79,1,0,3,0.348,0.417,0.766,113,0.294
ackledu01,2012,607,84,137,22,2,12,50,59,124,7,0,1,0.294,0.328,0.622,73,0.319
ackledu01,2013,384,40,97,18,2,4,31,37,72,1,1,1,0.319,0.341,0.66,86,0.293
ackledu01,2014,502,64,123,27,4,14,65,32,90,1,3,2,0.293,0.398,0.692,96,0.335
adamsma01,2013,296,46,84,14,0,17,51,23,80,0,0,0,0.335,0.503,0.839,132,0.321
adamsma01,2014,527,55,152,34,5,15,68,26,114,5,3,7,0.321,0.457,0.779,121,0.309
adamsma01,2016,297,37,74,18,0,16,54,25,81,1,2,3,0.309,0.471,0.78,109,0.315
adamsma01,2017,291,42,79,20,1,19,58,19,71,5,1,3,0.315,0.543,0.858,125,0.332
adamsma01,2018,249,37,64,9,0,18,48,24,55,2,4,0,0.332,0.51,0.842,129,0.276
agbaybe01,1999,276,42,79,18,3,14,42,32,60,4,3,3,0.363,0.525,0.888,126,0.391
agbaybe01,2000,350,59,101,19,1,15,60,54,68,2,7,3,0.391,0.477,0.868,122,0.364
agbaybe01,2001,296,28,82,14,2,6,27,36,73,0,5,1,0.364,0.399,0.763,103,0.275
ahmedni01,2015,421,49,95,17,6,9,34,29,81,1,1,3,0.275,0.359,0.634,75,0.265
