playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
abbotje01,2000,215,31,59,15,1,3,29,21,38,1,2,1,0.343,0.395,0.738,0.32,0.345,0.437,90
abbotku01,1999,286,41,78,17,2,8,41,16,69,0,0,1,0.31,0.43,0.74,0.333,0.345,0.434,89
abbotku01,2000,157,22,34,7,1,6,12,14,51,2,1,1,0.283,0.389,0.672,0.277,0.345,0.437,71
abercre01,2006,255,39,54,12,2,5,24,18,78,2,3,1,0.271,0.333,0.604,0.283,0.337,0.432,57
abernbr01,2001,304,43,82,17,1,5,33,27,35,1,0,1,0.328,0.382,0.71,0.291,0.332,0.427,88
abernbr01,2002,463,46,112,18,4,2,40,25,46,0,6,2,0.288,0.311,0.599,0.264,0.331,0.417,62
abreubo01,1999,546,118,183,35,11,20,93,109,113,8,3,4,0.446,0.549,0.995,0.391,0.345,0.434,156
abreubo01,2000,576,103,182,42,10,25,79,100,116,9,1,3,0.416,0.554,0.97,0.358,0.345,0.437,147
abreubo01,2001,588,118,170,48,4,31,110,106,137,11,1,9,0.393,0.543,0.936,0.324,0.332,0.427,146
abreubo01,2002,572,102,176,50,6,20,85,104,117,9,3,6,0.413,0.521,0.934,0.354,0.331,0.417,150
abreubo01,2003,577,99,173,35,1,20,101,109,126,13,2,7,0.409,0.468,0.877,0.349,0.333,0.422,134
abreubo01,2004,574,118,173,47,1,30,105,127,116,10,5,7,0.428,0.544,0.971,0.329,0.335,0.428,155
abreubo01,2005,588,104,168,37,1,24,102,117,134,15,6,8,0.405,0.474,0.879,0.329,0.33,0.419,136
abreubo01,2006,209,37,69,16,0,7,42,33,52,1,1,3,0.419,0.507,0.926,0.405,0.337,0.432,142
abreubo01,2006,339,61,94,25,2,8,65,91,86,5,2,6,0.427,0.434,0.861,0.343,0.337,0.432,127
abreubo01,2007,605,123,171,40,5,16,101,84,115,0,3,7,0.369,0.445,0.814,0.322,0.336,0.423,115
abreubo01,2008,609,100,180,39,4,20,100,73,109,2,1,1,0.371,0.471,0.843,0.333,0.333,0.416,125
abreubo01,2009,563,96,165,29,3,15,103,94,113,7,1,9,0.39,0.435,0.825,0.338,0.333,0.418,121
abreubo01,2010,573,88,146,41,1,20,78,87,132,3,2,5,0.352,0.435,0.787,0.296,0.325,0.403,116
abreubo01,2011,502,54,127,30,1,8,60,78,113,5,1,3,0.353,0.365,0.717,0.31,0.321,0.399,101
abreubo01,2012,195,28,48,8,1,3,19,35,51,3,0,0,0.361,0.344,0.704,0.319,0.319,0.405,98
abreubo01,2014,133,12,33,9,0,1,14,20,21,0,0,2,0.342,0.338,0.68,0.283,0.314,0.386,96
abreujo02,2014,556,80,176,35,2,36,107,51,131,15,11,4,0.383,0.581,0.964,0.356,0.314,0.386,172
abreujo02,2015,613,88,178,34,3,30,101,39,140,11,15,1,0.347,0.502,0.85,0.333,0.317,0.405,133
abreujo02,2016,624,67,183,32,1,25,100,47,125,7,15,9,0.353,0.468,0.82,0.327,0.322,0.417,122
abreujo02,2017,621,95,189,43,6,33,102,35,119,6,15,4,0.354,0.552,0.906,0.33,0.324,0.426,139
abreujo02,2018,499,68,132,36,1,22,78,37,109,7,11,6,0.325,0.473,0.798,0.294,0.318,0.409,118
abreuto01,2007,166,19,45,14,1,2,17,7,21,1,3,2,0.309,0.404,0.713,0.297,0.336,0.423,87
abreuto01,2010,193,16,45,11,1,1,13,4,47,0,0,4,0.244,0.316,0.56,0.295,0.325,0.403,53
abreuto01,2013,138,21,37,12,3,2,14,6,33,1,1,1,0.301,0.442,0.743,0.337,0.318,0.396,106
ackledu01,2011,333,39,91,16,7,6,36,40,79,1,0,3,0.348,0.417,0.766,0.339,0.321,0.399,113
ackledu01,2012,607,84,137,22,2,12,50,59,124,7,0,1,0.294,0.328,0.622,0.265,0.319,0.405,73
ackledu01,2013,384,40,97,18,2,4,31,37,72,1,1,1,0.319,0.341,0.66,0.301,0.318,0.396,86
ackledu01,2014,502,64,123,27,4,14,65,32,90,1,3,2,0.293,0.398,0.692,0.273,0.314,0.386,96
ackledu01,2015,186,22,40,8,1,6,19,14,38,0,1,3,0.27,0.366,0.635,0.234,0.317,0.405,76
acunaro01,2018,433,78,127,26,4,26,64,45,123,2,6,3,0.366,0.552,0.917,0.352,0.318,0.409,150
adamecr01,2016,225,25,49,7,3,2,17,24,47,0,4,0,0.304,0.302,0.607,0.267,0.322,0.417,67
adamewi01,2018,288,43,80,7,0,10,34,31,95,3,1,2,0.348,0.406,0.754,0.378,0.318,0.409,109
adamsda02,2013,140,10,27,5,1,2,13,9,43,0,2,0,0.252,0.286,0.537,0.263,0.318,0.396,51
adamsla01,2017,109,19,30,4,1,5,20,10,37,0,1,1,0.339,0.468,0.807,0.368,0.324,0.426,114
adamsma01,2013,296,46,84,14,0,17,51,23,80,0,0,0,0.335,0.503,0.839,0.337,0.318,0.396,132
adamsma01,2014,527,55,152,34,5,15,68,26,114,5,3,7,0.321,0.457,0.779,0.338,0.314,0.386,121
adamsma01,2015,175,14,42,9,0,5,24,10,41,1,0,1,0.28,0.377,0.657,0.285,0.317,0.405,81
adamsma01,2016,297,37,74,18,0,16,54,25,81,1,2,3,0.309,0.471,0.78,0.286,0.322,0.417,109
adamsma01,2017,291,42,79,20,1,19,58,19,71,5,1,3,0.315,0.543,0.858,0.294,0.324,0.426,125
adamsma01,2018,249,37,64,9,0,18,48,24,55,2,4,0,0.332,0.51,0.842,0.261,0.318,0.409,129
adamsru01,2005,481,68,123,27,5,8,63,50,57,1,3,8,0.325,0.383,0.707,0.271,0.33,0.419,90
adamsru01,2006,251,31,55,14,1,3,28,22,41,0,1,3,0.282,0.319,0.6,0.248,0.337,0.432,58
adducji02,2014,101,13,17,3,0,1,8,10,27,0,0,2,0.239,0.228,0.467,0.213,0.314,0.386,35
adducji02,2018,176,19,47,8,2,3,21,6,45,0,0,1,0.29,0.386,0.676,0.341,0.318,0.409,86
adriaeh01,2015,113,11,21,7,1,0,11,15,20,0,4,0,0.303,0.265,0.569,0.226,0.317,0.405,61
adriaeh01,2017,162,30,43,9,2,2,24,16,25,1,1,6,0.324,0.383,0.707,0.291,0.324,0.426,90
adriaeh01,2018,335,42,84,23,1,6,39,24,82,2,1,2,0.301,0.379,0.68,0.313,0.318,0.409,87
agbaybe01,1999,276,42,79,18,3,14,42,32,60,4,3,3,0.363,0.525,0.888,0.317,0.345,0.434,126
agbaybe01,2000,350,59,101,19,1,15,60,54,68,2,7,3,0.391,0.477,0.868,0.319,0.345,0.437,122
